datetime,low
2021-10-19 09:15:00,
2021-10-20 09:15:00,
2021-10-21 09:15:00,
2021-10-22 09:15:00,
2021-10-25 09:15:00,
2021-10-26 09:15:00,
2021-10-27 09:15:00,
2021-10-28 09:15:00,
2021-10-29 09:15:00,
2021-11-01 09:15:00,
2021-11-02 09:15:00,
2021-11-03 09:15:00,
2021-11-04 18:00:00,
2021-11-08 09:15:00,
2021-11-09 09:15:00,
2021-11-10 09:15:00,
2021-11-11 09:15:00,
2021-11-12 09:15:00,
2021-11-15 09:15:00,
2021-11-16 09:15:00,
2021-11-17 09:15:00,
2021-11-18 09:15:00,
2021-11-22 09:15:00,
2021-11-23 09:15:00,
2021-11-24 09:15:00,
2021-11-25 09:15:00,
2021-11-26 09:15:00,
2021-11-29 09:15:00,
2021-11-30 09:15:00,
2021-12-01 09:15:00,
2021-12-02 09:15:00,
2021-12-03 09:15:00,
2021-12-06 09:15:00,
2021-12-07 09:15:00,
2021-12-08 09:15:00,
2021-12-09 09:15:00,
2021-12-10 09:15:00,
2021-12-13 09:15:00,
2021-12-14 09:15:00,
2021-12-15 09:15:00,
2021-12-16 09:15:00,
2021-12-17 09:15:00,
2021-12-20 09:15:00,
2021-12-21 09:15:00,
2021-12-22 09:15:00,
2021-12-23 09:15:00,
2021-12-24 09:15:00,
2021-12-27 09:15:00,
2021-12-28 09:15:00,
2021-12-29 09:15:00,
2021-12-30 09:15:00,
2021-12-31 09:15:00,
2022-01-03 09:15:00,
2022-01-04 09:15:00,
2022-01-05 09:15:00,
2022-01-06 09:15:00,
2022-01-07 09:15:00,
2022-01-10 09:15:00,
2022-01-11 09:15:00,
2022-01-12 09:15:00,
2022-01-13 09:15:00,
2022-01-14 09:15:00,
2022-01-17 09:15:00,
2022-01-18 09:15:00,
2022-01-19 09:15:00,
2022-01-20 09:15:00,
2022-01-21 09:15:00,
2022-01-24 09:15:00,
2022-01-25 09:15:00,
2022-01-27 09:15:00,
2022-01-28 09:15:00,2130.373
2022-01-31 09:15:00,2182.46
2022-02-01 09:15:00,2227.2459999999996
2022-02-02 09:15:00,2254.0
2022-02-03 09:15:00,2240.525
2022-02-04 09:15:00,2224.6
2022-02-07 09:15:00,2194.465
2022-02-08 09:15:00,2216.9559999999997
2022-02-09 09:15:00,2244.3959999999997
2022-02-10 09:15:00,2219.7
2022-02-11 09:15:00,2195.2
2022-02-14 09:15:00,2102.1
2022-02-15 09:15:00,2113.37
2022-02-16 09:15:00,2171.092
2022-02-17 09:15:00,2171.435
2022-02-18 09:15:00,2128.56
2022-02-21 09:15:00,2107.98
2022-02-22 09:15:00,2058.098
2022-02-23 09:15:00,2100.8259999999996
2022-02-24 09:15:00,1961.96
2022-02-25 09:15:00,
2022-02-28 09:15:00,
2022-03-02 09:15:00,
2022-03-03 09:15:00,
2022-03-04 09:15:00,
2022-03-07 09:15:00,
2022-03-08 09:15:00,
2022-03-09 09:15:00,
2022-03-10 09:15:00,
2022-03-11 09:15:00,
